bond_type,currency,time_to_maturity_days,coupon_type,label
Agency,USD,388,fixed,D
Agency,USD,657,fixed,D
Agency,USD,561,fixed,D
Agency,USD,1809,fixed,D
Agency,USD,1819,floating,A
Agency,USD,1075,floating,A
Agency,CAD,653,fixed,C
Agency,USD,1683,fixed,D
Agency,CAD,428,fixed,C
Agency,USD,1381,fixed,D
Agency,USD,356,fixed,B
Agency,USD,1049,fixed,D
Agency,USD,1567,fixed,D
Agency,USD,1796,fixed,D
Agency,CAD,351,fixed,C
Agency,USD,1631,fixed,D
Agency,USD,381,fixed,D
Agency,USD,1972,fixed,D
Agency,USD,1532,fixed,D
Agency,CAD,330,fixed,C
Agency,USD,603,fixed,D
Agency,USD,423,fixed,D
Agency,USD,860,fixed,D
Agency,USD,356,floating,A
Agency,USD,420,fixed,D
Agency,CAD,371,fixed,C
Agency,USD,1979,fixed,D
Agency,USD,1579,floating,A
Agency,USD,196,floating,A
Agency,USD,359,floating,A
Agency,USD,1787,fixed,D
Agency,USD,576,fixed,D
Agency,USD,325,fixed,B
Agency,USD,378,fixed,D
Agency,USD,1873,fixed,D
Agency,CAD,311,fixed,C
Agency,USD,124,fixed,B
Agency,USD,400,floating,A
Agency,CAD,1571,fixed,C
Agency,USD,174,fixed,B
Agency,USD,612,fixed,D
Agency,USD,311,floating,A
Agency,USD,1931,floating,A
Agency,USD,1652,fixed,D
Agency,USD,385,floating,A
Agency,USD,922,floating,A
Agency,USD,1781,floating,A
Agency,USD,374,floating,A
Agency,USD,1715,fixed,D
Agency,USD,926,floating,A
Agency,USD,1808,fixed,D
Agency,USD,1195,fixed,D
Agency,CAD,303,fixed,C
Agency,CAD,300,fixed,C
Agency,USD,1040,floating,A
Agency,USD,553,fixed,D
Agency,USD,304,floating,A
Agency,USD,384,fixed,D
Agency,USD,539,fixed,D
Agency,USD,407,fixed,D
Agency,USD,331,floating,A
Agency,USD,1199,fixed,D
Agency,USD,1616,fixed,D
Agency,USD,1769,fixed,D
Agency,CAD,769,fixed,C
Agency,USD,320,fixed,B
Agency,CAD,1561,floating,C
Agency,USD,1913,fixed,D
Agency,CAD,340,floating,C
Agency,CAD,317,fixed,C
Agency,CAD,125,floating,C
Agency,USD,436,fixed,D
Agency,USD,1745,fixed,D
Agency,USD,210,fixed,B
Agency,USD,377,fixed,D
Agency,USD,1247,fixed,D
Agency,USD,349,fixed,B
Agency,USD,358,fixed,B
Agency,CAD,1446,fixed,C
Agency,USD,347,fixed,B
Agency,USD,706,floating,A
Agency,USD,1974,fixed,D
Agency,USD,290,fixed,B
Agency,USD,1745,fixed,D
Agency,USD,1512,fixed,D
Agency,USD,536,fixed,D
Agency,USD,347,fixed,B
Agency,USD,1226,fixed,D
Agency,USD,1993,fixed,D
Agency,USD,1270,fixed,D
Agency,USD,353,fixed,B
Agency,USD,334,floating,A
Agency,USD,339,fixed,B
Agency,CAD,979,fixed,C
Agency,CAD,810,fixed,C
Agency,USD,1552,fixed,D
Agency,USD,933,floating,A
Agency,USD,703,fixed,D
Agency,CAD,654,fixed,C
Agency,USD,578,fixed,D
Agency,USD,370,fixed,D
Agency,USD,376,floating,A
Agency,USD,415,fixed,D
Agency,USD,1266,fixed,D
Agency,USD,399,floating,A
Agency,USD,308,fixed,B
Agency,USD,157,fixed,B
Agency,CAD,405,fixed,C
Agency,USD,305,fixed,B
Agency,USD,1867,floating,A
Agency,USD,1152,fixed,D
Agency,USD,166,fixed,B
Agency,USD,414,floating,A
Agency,CAD,1257,fixed,C
Agency,USD,423,fixed,D
Agency,CAD,316,fixed,C
Agency,USD,570,floating,A
Agency,USD,111,fixed,B
Agency,USD,1183,fixed,D
Agency,USD,872,fixed,D
Agency,CAD,111,fixed,C
Agency,USD,411,fixed,D
Agency,USD,804,fixed,D
Agency,USD,546,fixed,D
Agency,USD,368,floating,A
Agency,USD,538,floating,A
Agency,USD,322,fixed,B
Agency,USD,421,fixed,D
Agency,USD,1578,floating,A
Agency,USD,385,floating,A
Agency,USD,1970,fixed,D
Agency,USD,313,fixed,B
Agency,USD,1944,fixed,D
Agency,USD,233,floating,A
Agency,CAD,1716,fixed,C
Agency,USD,333,fixed,B
Agency,USD,669,fixed,D
Agency,USD,1980,floating,A
Agency,USD,1310,floating,A
Agency,USD,402,floating,A
Agency,USD,357,fixed,B
Agency,USD,346,floating,A
Agency,USD,289,floating,A
Agency,CAD,639,fixed,C
Agency,USD,401,fixed,D
Agency,USD,382,floating,A
Agency,USD,165,fixed,B
Agency,USD,372,fixed,D
Agency,USD,1524,fixed,D
Agency,USD,404,fixed,D
Agency,CAD,382,fixed,C
Agency,USD,365,fixed,B
Agency,USD,317,fixed,B
Agency,USD,1527,floating,A
Agency,USD,1874,fixed,D
Agency,CAD,305,fixed,C
Agency,USD,184,floating,A
Agency,USD,1284,fixed,D
Agency,USD,364,fixed,B
Agency,CAD,548,floating,C
Agency,USD,646,fixed,D
Agency,CAD,814,fixed,C
Agency,USD,603,fixed,D
Agency,CAD,504,floating,C
Agency,USD,148,fixed,B
Agency,USD,418,fixed,D
Agency,USD,403,floating,A
Agency,USD,1797,fixed,D
Agency,USD,415,fixed,D
Agency,USD,141,fixed,B
Agency,CAD,1238,fixed,C
Agency,USD,1546,fixed,D
Agency,USD,516,fixed,D
Agency,USD,493,fixed,D
Agency,USD,948,fixed,D
Agency,CAD,1849,fixed,C
Agency,USD,303,fixed,B
Agency,USD,1527,fixed,D
Agency,CAD,1239,fixed,C
Agency,CAD,1762,fixed,C
Agency,USD,315,fixed,B
Agency,CAD,840,fixed,C
Agency,USD,367,fixed,D
Agency,CAD,425,floating,C
Agency,USD,319,fixed,B
Agency,USD,324,floating,A
Agency,USD,1582,fixed,D
Agency,CAD,796,fixed,C
Agency,USD,1086,fixed,D
Agency,USD,1024,fixed,D
Agency,USD,554,fixed,D
Agency,USD,422,floating,A
Agency,USD,351,fixed,B
Agency,CAD,216,fixed,C
Agency,USD,674,fixed,D
Agency,USD,426,fixed,D
Agency,USD,742,floating,A
Agency,USD,1070,fixed,D
Agency,USD,1439,floating,A
Agency,USD,1313,fixed,D
Agency,USD,12,floating,A
Agency,CAD,322,floating,C
Agency,USD,1577,floating,A
Agency,USD,404,fixed,D
Agency,CAD,1838,fixed,C
Agency,USD,355,fixed,B
Agency,USD,329,fixed,B
Agency,CAD,940,fixed,C
Agency,USD,386,fixed,D
Agency,USD,117,fixed,B
Agency,USD,572,floating,A
Agency,USD,360,fixed,B
Agency,USD,1642,floating,A
Agency,USD,279,fixed,B
Agency,CAD,305,fixed,C
Agency,USD,365,floating,A
Agency,USD,397,floating,A
Agency,USD,371,fixed,D
Agency,USD,1439,floating,A
Agency,USD,402,fixed,D
Agency,CAD,320,floating,C
Agency,USD,1492,fixed,D
Agency,USD,385,fixed,D
Agency,USD,1885,fixed,D
Agency,USD,577,fixed,D
Agency,CAD,386,fixed,C
Agency,USD,424,fixed,D
Agency,USD,390,fixed,D
Agency,USD,754,floating,A
Agency,USD,1626,fixed,D
Agency,CAD,375,fixed,C
Agency,USD,383,fixed,D
Agency,USD,401,fixed,D
Agency,USD,313,fixed,B
Agency,USD,197,fixed,B
Agency,USD,341,fixed,B
Agency,CAD,387,fixed,C
Agency,USD,1408,fixed,D
Agency,USD,357,fixed,B
Agency,USD,423,floating,A
Agency,USD,152,floating,A
Agency,CAD,340,fixed,C
Agency,USD,1736,fixed,D
Agency,USD,419,fixed,D
Agency,USD,361,fixed,B
Agency,USD,415,fixed,D
Agency,USD,600,floating,A
Agency,USD,421,fixed,D
Agency,USD,423,fixed,D
Agency,USD,248,fixed,B
Agency,USD,338,fixed,B
Agency,USD,379,fixed,D
Agency,USD,905,fixed,D
Agency,USD,338,floating,A
Agency,USD,306,fixed,B
Agency,USD,511,fixed,D
Agency,USD,363,fixed,B
Agency,USD,379,fixed,D
Agency,USD,518,floating,A
Agency,USD,368,floating,A
Agency,USD,300,floating,A
Agency,USD,378,fixed,D
Agency,USD,1684,fixed,D
Agency,USD,937,fixed,D
Agency,USD,328,fixed,B
Agency,USD,1854,fixed,D
Agency,USD,411,fixed,D
Agency,USD,496,fixed,D
Agency,USD,1763,floating,A
Agency,USD,1045,fixed,D
Agency,USD,352,floating,A
Agency,USD,380,fixed,D
Agency,USD,378,fixed,D
Agency,USD,203,fixed,B
Agency,USD,804,fixed,D
Agency,CAD,346,fixed,C
Agency,CAD,543,fixed,C
Agency,USD,1006,fixed,D
Agency,USD,1714,floating,A
Agency,USD,1395,fixed,D
Agency,USD,382,fixed,D
Agency,CAD,303,fixed,C
Agency,USD,328,floating,A
Agency,USD,1753,fixed,D
Agency,USD,1516,fixed,D
Agency,CAD,71,fixed,C
Agency,USD,775,fixed,D
Agency,USD,329,fixed,B
Agency,USD,417,fixed,D
Agency,USD,571,floating,A
Agency,USD,1669,fixed,D
Agency,USD,811,fixed,D
Agency,USD,1388,fixed,D
Agency,CAD,631,fixed,C
Agency,CAD,320,fixed,C
Agency,USD,810,fixed,D
Agency,USD,1523,fixed,D
Agency,USD,388,fixed,D
Agency,USD,427,fixed,D
Agency,USD,390,floating,A
Agency,CAD,421,fixed,C
Agency,CAD,392,fixed,C
Agency,USD,1441,floating,A
Agency,USD,422,floating,A
Agency,USD,399,fixed,D
Agency,USD,312,floating,A
Agency,USD,302,fixed,B
Agency,USD,743,fixed,D
Agency,USD,568,floating,A
Agency,USD,275,floating,A
Agency,USD,725,fixed,D
Agency,USD,835,fixed,D
Agency,USD,302,fixed,B
Agency,CAD,415,fixed,C
Agency,CAD,447,floating,C
Agency,USD,394,fixed,D
Agency,CAD,1045,fixed,C
Agency,CAD,394,fixed,C
Agency,USD,226,fixed,B
Agency,USD,794,fixed,D
Agency,USD,1155,floating,A
Agency,USD,1903,fixed,D
Agency,USD,332,fixed,B
Agency,USD,197,fixed,B
Agency,USD,383,fixed,D
Agency,USD,425,fixed,D
Agency,USD,311,fixed,B
Agency,CAD,704,fixed,C
Agency,USD,1927,fixed,D
Agency,USD,1111,floating,A
Agency,USD,1969,fixed,D
Agency,USD,386,fixed,D
Agency,USD,304,fixed,B
Agency,USD,368,fixed,D
Agency,USD,1562,floating,A
Agency,USD,8,fixed,B
Agency,CAD,328,fixed,C
Agency,USD,1160,fixed,D
Agency,USD,371,floating,A
Agency,USD,273,fixed,B
Agency,USD,339,fixed,B
Agency,USD,367,fixed,D
Agency,USD,388,fixed,D
Agency,USD,417,floating,A
Agency,USD,359,fixed,B
Agency,CAD,315,fixed,C
Agency,USD,848,fixed,D
Agency,USD,313,floating,A
Agency,CAD,410,fixed,C
Agency,USD,1702,fixed,D
Agency,CAD,1717,floating,C
Agency,USD,400,fixed,D
Agency,CAD,358,floating,C
Agency,USD,1122,floating,A
Agency,USD,413,fixed,D
Agency,USD,338,fixed,B
Agency,USD,9,fixed,B
Agency,USD,422,fixed,D
Agency,CAD,344,fixed,C
Agency,USD,1240,floating,A
Agency,USD,1430,fixed,D
Agency,USD,328,fixed,B
Agency,USD,356,fixed,B
Agency,USD,819,fixed,D
Agency,CAD,1348,fixed,C
Agency,USD,314,floating,A
Agency,USD,306,fixed,B
Agency,USD,354,fixed,B
Agency,USD,1026,fixed,D
Agency,USD,916,fixed,D
Agency,USD,1158,floating,A
Agency,USD,229,fixed,B
Agency,CAD,390,fixed,C
Agency,USD,102,fixed,B
Agency,USD,732,fixed,D
Agency,USD,329,fixed,B
Agency,CAD,401,floating,C
Agency,USD,1642,floating,A
Agency,CAD,22,fixed,C
Agency,USD,839,fixed,D
Agency,CAD,227,fixed,C
Agency,USD,823,fixed,D
Agency,USD,428,fixed,D
Agency,USD,426,fixed,D
Agency,USD,857,fixed,D
Agency,USD,388,fixed,D
Agency,CAD,1983,fixed,C
Agency,CAD,1222,fixed,C
Agency,USD,398,fixed,D
Agency,USD,1349,fixed,D
Agency,USD,304,fixed,B
Agency,USD,744,floating,A
Agency,USD,277,fixed,B
Agency,USD,1009,fixed,D
Agency,USD,330,fixed,B
Agency,USD,656,fixed,D
Agency,CAD,1413,fixed,C
Agency,USD,81,fixed,B
Agency,CAD,1333,fixed,C
Agency,USD,1639,fixed,D
Agency,USD,1298,fixed,D
Agency,USD,944,floating,A
Agency,USD,398,fixed,D
Agency,USD,357,fixed,B
Agency,CAD,339,fixed,C
Agency,CAD,313,fixed,C
Agency,USD,400,fixed,D
Agency,USD,1948,fixed,D
Agency,USD,725,fixed,D
Agency,USD,1842,fixed,D
Agency,USD,328,fixed,B
Agency,USD,383,fixed,D
Agency,USD,25,fixed,B
Agency,CAD,1111,fixed,C
Agency,USD,1480,fixed,D
Agency,USD,1095,floating,A
Agency,USD,228,floating,A
Agency,USD,371,fixed,D
Agency,USD,330,fixed,B
Agency,CAD,863,fixed,C
Agency,USD,1341,fixed,D
Agency,USD,325,fixed,B
Agency,USD,400,fixed,D
Agency,USD,305,fixed,B
Agency,USD,90,floating,A
Agency,CAD,360,fixed,C
Agency,USD,306,fixed,B
Agency,USD,437,fixed,D
Agency,CAD,202,fixed,C
Agency,USD,404,fixed,D
Agency,CAD,1600,floating,C
Agency,USD,1410,floating,A
Agency,USD,1807,fixed,D
Agency,USD,362,fixed,B
Agency,USD,1038,fixed,D
Agency,CAD,437,fixed,C
Agency,USD,6,fixed,B
Agency,USD,395,fixed,D
Agency,USD,1789,fixed,D
Agency,USD,1367,fixed,D
Agency,USD,899,fixed,D
Agency,CAD,387,floating,C
Agency,USD,1168,fixed,D
Agency,USD,354,floating,A
Agency,USD,324,fixed,B
Agency,USD,409,floating,A
Agency,CAD,379,fixed,C
Agency,USD,472,fixed,D
Agency,USD,1901,fixed,D
Agency,USD,392,floating,A
Agency,CAD,309,fixed,C
Agency,USD,1714,fixed,D
Agency,USD,1429,floating,A
Agency,USD,602,fixed,D
Agency,USD,1947,floating,A
Agency,USD,336,fixed,B
Agency,USD,306,fixed,B
Agency,USD,359,fixed,B
Agency,USD,329,fixed,B
Agency,USD,401,fixed,D
Agency,USD,1891,fixed,D
Agency,CAD,1039,fixed,C
Agency,USD,109,floating,A
Agency,USD,721,floating,A
Agency,USD,1267,fixed,D
Agency,CAD,1503,fixed,C
Agency,USD,1874,fixed,D
Agency,USD,352,floating,A
Agency,CAD,1532,fixed,C
Agency,USD,342,fixed,B
Agency,USD,302,fixed,B
Agency,USD,1434,floating,A
Agency,USD,382,floating,A
Agency,USD,1329,fixed,D
Agency,USD,856,floating,A
Agency,USD,108,fixed,B
Agency,USD,386,fixed,D
Agency,CAD,442,floating,C
Agency,USD,355,fixed,B
Agency,USD,1593,fixed,D
Agency,USD,1311,floating,A
Agency,USD,24,floating,A
Agency,USD,931,fixed,D
Agency,USD,513,fixed,D
Agency,CAD,1784,floating,C
Agency,USD,317,fixed,B
Agency,USD,308,floating,A
Agency,CAD,404,fixed,C
Agency,USD,349,fixed,B
Agency,USD,352,fixed,B
Agency,USD,538,floating,A
Agency,USD,1895,floating,A
Agency,USD,1842,fixed,D
Agency,CAD,1348,fixed,C
Agency,USD,1601,floating,A
Agency,USD,411,fixed,D
Agency,USD,1537,fixed,D
Agency,CAD,1225,floating,C
Agency,USD,1274,floating,A
Agency,USD,375,floating,A
Agency,USD,1990,fixed,D
Agency,USD,548,fixed,D
Agency,USD,346,floating,A
Agency,USD,1286,fixed,D
Agency,USD,378,fixed,D
Agency,USD,1592,floating,A
Agency,USD,1356,fixed,D
Agency,USD,325,floating,A
Agency,USD,300,fixed,B
Agency,USD,349,floating,A
Agency,USD,1026,fixed,D
Agency,USD,1311,fixed,D
Agency,USD,154,floating,A
Agency,USD,106,fixed,B
Agency,USD,337,fixed,B
Agency,USD,416,fixed,D
Agency,CAD,421,floating,C
Agency,USD,317,floating,A
Agency,USD,351,fixed,B
Agency,USD,380,fixed,D
Agency,USD,1747,fixed,D
Agency,USD,349,floating,A
Agency,USD,336,floating,A
Agency,CAD,1507,floating,C
Agency,USD,354,fixed,B
Agency,USD,367,fixed,D
Agency,USD,345,floating,A
Agency,USD,387,floating,A
Agency,USD,313,fixed,B
Agency,USD,1312,fixed,D
Agency,USD,1952,fixed,D
Agency,CAD,401,fixed,C
Agency,USD,315,fixed,B
Agency,USD,1104,fixed,D
Agency,USD,356,fixed,B
Agency,USD,1794,floating,A
Agency,USD,379,fixed,D
Agency,USD,404,floating,A
Agency,CAD,402,fixed,C
Agency,USD,1965,fixed,D
Agency,USD,332,fixed,B
Agency,USD,392,fixed,D
Agency,USD,249,fixed,B
Agency,USD,1447,fixed,D
Agency,USD,105,floating,A
Agency,USD,1041,floating,A
Agency,USD,365,fixed,B
Agency,CAD,413,fixed,C
Agency,USD,1866,fixed,D
Agency,CAD,365,fixed,C
Agency,USD,363,fixed,B
Agency,USD,365,fixed,B
Agency,USD,1455,fixed,D
Agency,CAD,413,fixed,C
Agency,USD,1080,floating,A
Agency,CAD,429,floating,C
Agency,USD,355,fixed,B
Agency,USD,1444,floating,A
Agency,CAD,338,fixed,C
Agency,USD,107,fixed,B
Agency,USD,1293,floating,A
Agency,USD,396,floating,A
Agency,USD,1051,floating,A
Agency,USD,1177,fixed,D
Agency,USD,411,floating,A
Agency,USD,1686,fixed,D
Agency,USD,1651,fixed,D
Agency,USD,1432,fixed,D
Agency,USD,342,floating,A
Agency,USD,856,fixed,D
Agency,USD,938,fixed,D
Agency,USD,422,floating,A
Agency,USD,595,fixed,D
Agency,USD,159,fixed,B
Agency,USD,333,fixed,B
Agency,USD,640,fixed,D
Agency,CAD,985,floating,C
Agency,USD,247,fixed,B
Agency,USD,329,fixed,B
Agency,USD,1432,fixed,D
Agency,USD,762,fixed,D
Agency,USD,1448,floating,A
Agency,USD,371,fixed,D
Agency,CAD,961,floating,C
Agency,USD,575,fixed,D
Agency,USD,1827,fixed,D
Agency,CAD,359,fixed,C
Agency,USD,314,fixed,B
Agency,USD,359,fixed,B
Agency,CAD,323,floating,C
Agency,CAD,322,fixed,C
Agency,USD,1499,fixed,D
Agency,USD,412,fixed,D
Agency,USD,397,fixed,D
Agency,USD,113,fixed,B
Agency,USD,348,floating,A
Agency,USD,764,fixed,D
Agency,USD,320,fixed,B
Agency,CAD,369,fixed,C
Agency,USD,343,fixed,B
Agency,USD,333,fixed,B
Agency,USD,381,fixed,D
Agency,CAD,1574,fixed,C
Agency,USD,1123,floating,A
Agency,USD,369,fixed,D
Agency,USD,355,fixed,B
Agency,USD,364,fixed,B
Agency,USD,1164,fixed,D
Agency,USD,669,fixed,D
Agency,USD,46,fixed,B
Agency,USD,1401,floating,A
Agency,CAD,97,fixed,C
Agency,USD,373,fixed,D
Agency,USD,628,fixed,D
Agency,USD,368,fixed,D
Agency,USD,1901,fixed,D
Agency,USD,464,fixed,D
Agency,USD,378,fixed,D
Agency,USD,1402,fixed,D
Agency,CAD,428,floating,C
Agency,USD,394,floating,A
Agency,USD,412,fixed,D
Agency,USD,380,fixed,D
Agency,CAD,702,floating,C
Agency,USD,1729,floating,A
Agency,USD,403,floating,A
Agency,CAD,360,fixed,C
Agency,CAD,416,fixed,C
Agency,USD,427,fixed,D
Agency,USD,385,floating,A
Agency,USD,355,fixed,B
Agency,CAD,1600,fixed,C
Agency,USD,321,fixed,B
Agency,USD,1076,fixed,D
Agency,USD,370,fixed,D
Agency,USD,372,fixed,D
Agency,USD,319,fixed,B
Agency,USD,406,fixed,D
Agency,USD,297,fixed,B
Agency,CAD,1616,fixed,C
Agency,CAD,378,floating,C
Agency,USD,319,fixed,B
Agency,USD,1816,fixed,D
Agency,USD,410,fixed,D
Agency,USD,428,fixed,D
Agency,USD,332,fixed,B
Agency,CAD,429,fixed,C
Agency,USD,1761,fixed,D
Agency,USD,355,fixed,B
Agency,CAD,1941,fixed,C
Agency,USD,1422,fixed,D
Agency,USD,1958,fixed,D
Agency,USD,335,fixed,B
Agency,USD,203,fixed,B
Agency,USD,1180,fixed,D
Agency,USD,981,fixed,D
Agency,CAD,1812,floating,C
Agency,USD,126,floating,A
Agency,USD,310,fixed,B
Agency,USD,312,fixed,B
Agency,USD,314,fixed,B
Agency,USD,1169,fixed,D
Agency,USD,90,floating,A
Agency,USD,1309,fixed,D
Agency,USD,394,floating,A
Agency,CAD,386,fixed,C
Agency,USD,1418,fixed,D
Agency,USD,548,floating,A
Agency,USD,322,fixed,B
Agency,CAD,377,floating,C
Agency,USD,405,fixed,D
Agency,USD,339,floating,A
Agency,USD,303,fixed,B
Agency,USD,398,fixed,D
Agency,USD,401,floating,A
Agency,USD,357,fixed,B
Agency,USD,761,fixed,D
Agency,USD,1995,floating,A
Agency,CAD,380,fixed,C
Agency,USD,421,floating,A
Agency,USD,1271,fixed,D
Agency,USD,352,fixed,B
Agency,USD,907,fixed,D
Agency,USD,1219,fixed,D
Agency,USD,1084,floating,A
Agency,CAD,1685,fixed,C
Agency,CAD,406,fixed,C
Agency,CAD,394,fixed,C
Agency,CAD,1868,fixed,C
